"METRIC_KEY","METRIC_ID","METRIC_DATE","LOCATION_ID","NUMERATOR","DENOMINATOR","FISCAL_DATE","LAST_CHANGE_DT","LAST_CHANGE_ACTION"
"5900001","293","2021-03-21","27900001","702.0000","21.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","30300001","324.0000","6.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","35500001","629.0000","16.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","36600001","482.0000","13.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","20400001","23.0000","2.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","46400001","840.0000","21.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","45200001","22.0000","1.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","26800001","427.0000","10.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","41200001","199.0000","4.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","24100001","69.0000","3.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","39500001","27.0000","1.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","35800001","882.0000","24.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","29000001","69.0000","1.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","27600001","1978.0000","28.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","37900001","287.0000","9.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","36100001","2115.0000","55.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","41300001","8.0000","1.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","38200001","375.0000","12.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","19800001","131.0000","4.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","32000002","1510.0000","41.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","44000001","507.0000","20.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","22600001","244.0000","11.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","23700001","1798.0000","29.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","28700001","53.0000","2.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","41400001","148.0000","6.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","30100001","163.0000","4.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","43600001","68.0000","2.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","24900001","554.0000","20.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","42000001","75.0000","3.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","33700002","534.0000","16.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","33900001","1935.0000","52.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","26400001","883.0000","30.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","43500001","888.0000","22.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","28100001","1271.0000","27.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","26000001","249.0000","3.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","19100001","884.0000","17.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","20800001","64.0000","2.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","45000001","728.0000","17.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","38500001","747.0000","21.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","27500001","314.0000","8.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","23000001","66.0000","3.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","44700001","5.0000","1.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","39800001","545.0000","12.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","35700001","592.0000","16.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","37300001","573.0000","13.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","34000002","66.0000","2.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","37100001","175.0000","2.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","42200001","1244.0000","37.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","18400001","907.0000","26.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","36000001","341.0000","12.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","25200001","338.0000","9.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","39000001","380.0000","8.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","22100001","131.0000","6.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-21","45400001","629.0000","21.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","35100001","653.0000","24.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","30100001","325.0000","7.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","21300001","64.0000","2.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","19100001","545.0000","21.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","37900001","271.0000","8.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","39000001","210.0000","6.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","41700001","50.0000","4.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
